Car_Name,Brand,Model,Status,Year,Fuel_Type,Transmission,Horse_power,Cylinder,Mileage,Color,Price
Audi A4 SLine,Audi,Audi A4,occasion,2004.0,Diesel,Manuelle,7.0,1.9,350.0,gris,12.345
A4 B7,Audi,Audi A4,occasion,2006.0,Essence,Automatique,10.0,1.8,349.0,bleu,32.0
Audi a4,Audi,Audi A4,occasion,2006.0,Essence,Manuelle,7.0,1.6,300.0,noir,25.0
audi a4 à vendre ou échange bhaja makhir,Audi,Audi A4,occasion,2006.0,Essence,Manuelle,7.0,1.6,11111.0,Autres,18.0
Audi A4 tdi 19 b7,Audi,Audi A4,occasion,2007.0,Diesel,Manuelle,7.0,1.9,321.0,noir,29.0
Audi a4,Audi,Audi A4,occasion,2010.0,Essence,Manuelle,7.0,1.8,360000.0,noir,39.5
Vente voiture,Audi,Audi A4,occasion,2010.0,Diesel,Manuelle,8.0,2.0,191000.0,noir,42.0
Audi A4,Audi,Audi A4,occasion,2010.0,Essence,Automatique,7.0,1.8,169100.0,noir,33.0
Audi A4 tdi 20,Audi,Audi A4,occasion,2010.0,Diesel,Manuelle,6.0,2.0,167000.0,noir,50.0
Audi A4,Audi,Audi A4,occasion,2011.0,Essence,Manuelle,7.0,1.2,126000.0,noir,37.9
Audi a4,Audi,Audi A4,occasion,2011.0,Essence,Manuelle,7.0,1.2,126000.0,noir,37.9
Une belle audi A4 essence dune femme en bonne etat,Audi,Audi A4,occasion,2011.0,Essence,Manuelle,7.0,1.8,250.0,noir,29.0
Audi A4 essence,Audi,Audi A4,occasion,2011.0,Essence,Manuelle,7.0,1.8,228000.0,noir,36.0
A4 A,Audi,Audi A4,occasion,2012.0,Essence,Automatique,7.0,1.8,270000.0,blanc,50.0
Audi A4,Audi,Audi A4,occasion,2012.0,Essence,Manuelle,7.0,1.8,176000.0,noir,36.5
A4 18T,Audi,Audi A4,occasion,2013.0,Essence,Automatique,7.0,1.8,270000.0,blanc,44.0
Audi A4,Audi,Audi A4,occasion,2013.0,Essence,Manuelle,7.0,1.8,203000.0,blanc,45.0
À vendre Audi A4,Audi,Audi A4,occasion,2013.0,Essence,Manuelle,7.0,1.8,217.0,gris,40.0
Audi A4 18 tfsi,Audi,Audi A4,occasion,2013.0,Essence,Manuelle,7.0,1.8,285.0,gris,45.0
Audi A4,Audi,Audi A4,occasion,2013.0,Essence,Manuelle,7.0,1.8,204000.0,blanc,43.0
Audi A4  2014,Audi,Audi A4,occasion,2014.0,Essence,Manuelle,7.0,1.8,220000.0,noir,52.0
audi A4 premiere main,Audi,Audi A4,occasion,2019.0,Essence,Automatique,8.0,1.5,107000.0,blanc,91.0
Audi A4 komfort quattro,Audi,Audi A4,occasion,2021.0,Essence,Automatique,8.0,2.0,42000.0,blanc,120.0
2018  A 5  S  Premier,Audi,Audi A5,occasion,2018.0,Essence,Automatique,8.0,1.5,150000.0,noir,119.0
A5,Audi,Audi A5,occasion,2019.0,Essence,Automatique,7.0,1.4,61000.0,blanc,119.0
Audi A6 2017,Audi,Audi A6,occasion,2017.0,Essence,Automatique,9.0,1.8,139000.0,noir,99.0
Partner 7 chevoux,Audi,Q7,occasion,1960.0,Essence,Manuelle,7.0,1.0,200.0,bleu,15.5
Q2,Audi,Audi Q2,occasion,2019.0,Essence,Automatique,6.0,>4.0,140000.0,blanc,87.0
Audi Q3,Audi,Audi Q3,neuf,2018.0,Essence,Automatique,8.0,1.4,90000.0,blanc,90.0
Q3 20,Audi,Audi Q3,occasion,2013.0,Diesel,Manuelle,8.0,2.0,158000.0,blanc,76.0
A vendre Q3,Audi,Audi Q3,occasion,2016.0,Essence,Automatique,9.0,2.0,91000.0,noir,95.0
À vendre Audi Q3 2017,Audi,Audi Q3,occasion,2017.0,Essence,Automatique,8.0,1.4,130000.0,blanc,85.0
Q5QUATTRO Sline,Audi,Audi Q5,occasion,2010.0,Essence,Automatique,13.0,2.0,180000.0,noir,49.8
Audi Q5 Quattro sline,Audi,Audi Q5,occasion,2013.0,Diesel,Manuelle,10.0,2.0,300000.0,marron,70.0
audi Q7,Audi,Audi Q7,occasion,2008.0,Diesel,Automatique,16.0,3.0,200792.0,noir,53.8
Audi s4 v 6 biturbo quattro Kit  207000 km 9 chevaux essence,Audi,Audi S4,occasion,2000.0,Essence,Manuelle,9.0,>4.0,207000.0,bleu,36.0
Audi A4,Audi,A4,occasion,2011.0,Essence,Manuelle,7.0,1.4,126000.0,noir,37.9
Sss,Autres,Autres,neuf,2013.0,Diesel,Manuelle,10.0,2.5,260000.0,rouge,68.0
Tata xénon,Tata,Xénon,neuf,2019.0,Diesel,Manuelle,7.0,2.2,224000.0,blanc,35.0
Renault Clio 5,Renault,Clio,neuf,2021.0,Essence,Manuelle,5.0,1.0,79.0,gris,60.0
Cupra  2022 execlusive 20L  190cv din,Cupra,Leon,neuf,2022.0,Essence,Automatique,11.0,2.0,100000.0,bleu,134.9
Colf 8,Volkswagen,Golf,neuf,2023.0,Essence,Automatique,5.0,1.4,34000.0,blanc,99.0
Voiture wallys car 16 à vendre 0 kilomètres,Wallyscar,16,neuf,2023.0,Essence,Manuelle,7.0,1.6,5000.0,gris,45.0
Renault master,Renault,Master,neuf,2024.0,Diesel,Manuelle,8.0,1.6,200.0,blanc,8.0
Voiture à vendre,Autres,Autres,occasion,1991.0,Essence,Manuelle,7.0,1.3,0.0,rouge,8.5
A vendre Traktour,Autres,Autres,occasion,1993.0,Diesel,Manuelle,6.0,>4.0,0.0,vert,38.0
106 a v endre,Peugot,106,occasion,1995.0,Essence,Manuelle,4.0,1.0,280.0,rouge,9.8
Vendre,Autres,Autres,occasion,1999.0,Essence,Manuelle,4.0,1.0,200.0,bleu,18.5
Peugeot,Peugeot,Autres,occasion,2000.0,Essence,Manuelle,6.0,1.4,142129.0,rouge,111.0
R19 avendre,Renault,R19,occasion,2000.0,Essence,Manuelle,7.0,1.5,200000.0,gris,10.7
Clio,Renault,Clio,occasion,2001.0,Essence,Manuelle,4.0,1.2,238.0,gris,17.5
A vendre polo 3,Wolkswagen,Polo,occasion,2002.0,Essence,Manuelle,4.0,1.2,300.0,Autres,13.0
25 aout 2024,Autres,Autres,occasion,2006.0,Essence,Manuelle,7.0,1.4,16806.0,noir,23.0
Une belle laguna 3,Renault,Laguna,occasion,2009.0,Diesel,Manuelle,6.0,1.2,65000.0,Autres,30.5
Clio,Renault,Clio,occasion,2010.0,Essence,Manuelle,5.0,1.4,298.0,noir,23.0
Dfm s50 à vendre,Dongfeng,S50,occasion,2011.0,Essence,Manuelle,6.0,1.5,180.0,noir,42.0
Voiture à vendre,Autres,Autres,occasion,2012.0,Diesel,Manuelle,36.0,>4.0,260.0,blanc,55.0
C3  151,Citroen,C3,occasion,2012.0,Essence,Manuelle,5.0,1.2,173.0,noir,26.5
Peugeot 208,Peugot,208,occasion,2013.0,Essence,Manuelle,5.0,3.0,187000.0,noir,26.5
C3 populaire année 2017 à vendre,Citroen,C3,occasion,2017.0,Essence,Manuelle,4.0,3.0,154000.0,gris,32.0
Chery qq en à vendre,Chery,QQ,occasion,2017.0,Essence,Manuelle,4.0,1.0,90000.0,marron,21.5
XÉNON 44,Tata,Xénon,occasion,2017.0,Diesel,Manuelle,7.0,2.2,283000.0,noir,35.0
Chery,Chery,Autres,occasion,2017.0,Essence,Manuelle,4.0,1.2,81.0,gris,20.7
xénon 4x2 double cabine turbo x2 4portes,Tata,Xénon,occasion,2017.0,Diesel,Manuelle,7.0,2.2,164200.0,blanc,31.0
A,Autres,Autres,occasion,2018.0,Diesel,Manuelle,9.0,>4.0,84000.0,noir,111.111
Tata xénon a vendre 27261128,Tata,Xénon,occasion,2018.0,Diesel,Manuelle,7.0,2.2,141000.0,noir,35.0
Haval H6 faible kilométrage,Haval,H6,occasion,2019.0,Essence,Automatique,9.0,1.5,68800.0,noir,85.0
A Vendre,Autres,Autres,occasion,2019.0,Essence,Manuelle,4.0,1.2,30000.0,violet,42.5
Vends Wallis iris,Wallyscar,Iris,occasion,2019.0,Essence,Manuelle,4.0,1.2,17000.0,vert,40.0
Kia Picanto 4 cylindres,Kia,Picanto,occasion,2019.0,Essence,Manuelle,5.0,1.2,99800.0,gris,40.0
H6,Haval,H6,occasion,2019.0,Essence,Automatique,9.0,1.5,79000.0,blanc,123.0
Dong Feng S50 Noire a vendre,Dongfeng,S50,occasion,2019.0,Essence,Manuelle,5.0,1.5,480000.0,noir,38.0
H6,Haval,H6,occasion,2020.0,Essence,Automatique,9.0,1.5,76.0,noir,85.0
Grand tiger 4x4 2020,ZXAUTO,Grand Tiger,occasion,2020.0,Diesel,Manuelle,9.0,2.5,73000.0,bleu,65.0
TIGUAN14,Wolkswagen,Tiguan,occasion,2020.0,Essence,Automatique,8.0,1.4,61000.0,blanc,117.0
H6 Splendid,Haval,H6,occasion,2020.0,Essence,Automatique,9.0,1.5,65000.0,noir,83.0
Dongfeng s50,Dongfeng,S50,occasion,2020.0,Essence,Manuelle,6.0,1.5,88000.0,blanc,43.0
Chery  à vendre,Chery,Autres,occasion,2020.0,Essence,Manuelle,4.0,1.0,37000.0,noir,26.0
Wallys iris,Wallyscar,Iris,occasion,2020.0,Essence,Manuelle,4.0,1.2,80.0,crème,35.0
Haval jolion,Haval,Jolion,occasion,2021.0,Essence,Automatique,9.0,1.2,35.0,bleu,84.0
Voiture Dongfeng SX3,Dongfeng,SX3,occasion,2021.0,Essence,Manuelle,8.0,1.6,55000.0,beige,61.0
22801802,Autres,Autres,occasion,2021.0,Essence,Automatique,9.0,1.5,25000.0,noir,91.5
GC6,Geely,GC6,occasion,2022.0,Essence,Manuelle,6.0,1.5,46600.0,rouge,36.0
A,Autres,Autres,occasion,2022.0,Essence,Automatique,5.0,1.1,199.0,Autres,110.0
,Autres,Autres,occasion,2022.0,Essence,Automatique,9.0,1.5,15700.0,blanc,80.0
Tata xénon 5 places 4x4 double pont neuf 13000km garantie,Tata,Xénon,occasion,2022.0,Diesel,Manuelle,7.0,2.2,12500.0,blanc,60.0
Kenbo S2 2017 78000km,Baic,S2,occasion,2017.0,Essence,Manuelle,7.0,1.5,78000.0,blanc,36.0
Baic s2,Baic,S2,occasion,2017.0,Essence,Manuelle,7.0,1.5,106000.0,blanc,36.0
S2,Baic,S2,occasion,2017.0,Essence,Manuelle,4.0,1.2,93000.0,Autres,36.0
A vendre Baic S2,Baic,S2,occasion,2017.0,Essence,Manuelle,7.0,1.5,101200.0,rouge,33.5
kenbo S2,Baic,S2,occasion,2018.0,Essence,Manuelle,7.0,1.4,98000.0,gris,32.5
,Baic,S2,occasion,2019.0,Essence,Manuelle,5.0,1.5,0.0,gris,35.0
,Baic,S3,neuf,2019.0,Essence,Manuelle,7.0,1.4,100.0,gris,40.0
e34,Bmw,E34,occasion,1991.0,Essence,Manuelle,11.0,2.2,1000.0,noir,8.5
,Bmw,Autre,occasion,2011.0,Essence,Manuelle,6.0,1.6,162000.0,gris,46.0
Bmw 520 i F10,Bmw,F10,occasion,2012.0,Essence,Automatique,11.0,2.0,205000.0,noir,90.0
F30 320i,Bmw,F30,occasion,2014.0,Essence,Manuelle,9.0,>4.0,90000.0,Autres,77.0
X2,Bmw,X2,occasion,2018.0,Essence,Automatique,8.0,1.8,150000.0,orange,130.0
Bmw f30 phase 2 318i,Bmw,F30,occasion,2018.0,Essence,Automatique,7.0,1.4,140.0,blanc,77.0
E36 320i,Bmw,BMW M3,occasion,1992.0,Essence,Manuelle,8.0,2.5,200000.0,bleu,14.0
F20,Bmw,BMW Serie 1,neuf,2012.0,Essence,Manuelle,7.0,1.6,200000.0,noir,52.0
Bmw serie 1 118i,Bmw,BMW Serie 1,neuf,2020.0,Essence,Automatique,8.0,1.5,25000.0,noir,98.0
e87,Bmw,BMW Serie 1,occasion,2005.0,Essence,Manuelle,7.0,1.6,320.0,Autres,24.0
Serie1,Bmw,BMW Serie 1,occasion,2010.0,Essence,Manuelle,7.0,1.6,292000.0,noir,29.5
1,Bmw,BMW Serie 1,occasion,2012.0,Essence,Automatique,9.0,1.6,190000.0,blanc,49.0
série 1,Bmw,BMW Serie 1,occasion,2012.0,Essence,Automatique,7.0,1.6,166000.0,gris,44.0
116i F20,Bmw,BMW Serie 1,occasion,2012.0,Essence,Automatique,7.0,1.6,152000.0,blanc,46.0
bmw série1 f20 118i,Bmw,BMW Serie 1,occasion,2016.0,Essence,Automatique,7.0,1.5,103000.0,noir,66.9
A vendre  série 1 7  essence voiture presque neuf,Bmw,BMW Serie 1,occasion,2017.0,Essence,Automatique,7.0,1.5,40000.0,gris,110.0
A vendre  f20,Bmw,BMW Serie 1,occasion,2017.0,Essence,Manuelle,7.0,1.8,175.0,blanc,60.0
f20 model 2017,Bmw,BMW Serie 1,occasion,2017.0,Essence,Manuelle,7.0,1.6,128000.0,noir,123.456
1 118I,Bmw,BMW Serie 1,occasion,2017.0,Essence,Automatique,7.0,1.8,98000.0,bleu,68.0
118i F40 Pack M 21 36 36 36,Bmw,BMW Serie 1,occasion,2020.0,Essence,Automatique,7.0,1.6,42000.0,gris,135.0
série 1116d DKG7 modèle 2023,Bmw,BMW Serie 1,occasion,2021.0,Diesel,Automatique,6.0,1.5,200000.0,blanc,120.5
218i Série 2 Active Tourer Pack M sport,Bmw,BMW Serie 2 Active Tourer,occasion,2015.0,Essence,Automatique,7.0,1.5,144000.0,blanc,74.0
à vendre,Bmw,BMW Serie 2 Cabriolet,occasion,2018.0,Essence,Automatique,8.0,1.8,83000.0,noir,115.0
Fin 2022,Bmw,BMW Serie 2 Gran Tourer,occasion,2022.0,Essence,Automatique,8.0,1.5,22000.0,blanc,123.456
Bmw e36,Bmw,BMW Serie 3,neuf,1993.0,Essence,Manuelle,7.0,1.6,30.0,noir,18.0
E90 n45,Bmw,BMW Serie 3,neuf,2008.0,Essence,Manuelle,7.0,1.6,259.0,noir,31.5
3 f30 316i,Bmw,BMW Serie 3,neuf,2016.0,Essence,Manuelle,7.0,1.6,180000.0,noir,54.0
Bmw F30 kit M,Bmw,BMW Serie 3,neuf,2018.0,Essence,Automatique,7.0,1.8,180000.0,blanc,67.0
E30,Bmw,BMW Serie 3,occasion,1985.0,Essence,Manuelle,9.0,1.9,333333.0,noir,7.0
Bmw,Bmw,BMW Serie 3,occasion,1996.0,Essence,Manuelle,9.0,1.8,218339.0,vert,19.5
Bmw e46,Bmw,BMW Serie 3,occasion,1999.0,Diesel,Manuelle,4.0,1.6,300000.0,noir,26.0
E46 phase 2 316i,Bmw,BMW Serie 3,occasion,2004.0,Essence,Manuelle,7.0,1.8,400000.0,bleu,21.0
e90 prix 29,Bmw,BMW Serie 3,occasion,2006.0,Essence,Manuelle,8.0,1.8,220.0,noir,29.0
À   E92 320D,Bmw,BMW Serie 3,occasion,2007.0,Diesel,Automatique,10.0,2.8,250000.0,noir,49.0
Bmw e90 316i,Bmw,BMW Serie 3,occasion,2007.0,Essence,Manuelle,7.0,1.6,250000.0,noir,32.0
Bmw 316i e90 n45,Bmw,BMW Serie 3,occasion,2008.0,Essence,Manuelle,7.0,1.6,205000.0,noir,38.0
316i coupè,Bmw,BMW Serie 3,occasion,2010.0,Essence,Manuelle,7.0,1.6,200.0,noir,48.0
Bmw série,Bmw,BMW Serie 3,occasion,2011.0,Essence,Manuelle,7.0,1.6,300.0,noir,42.0
,Bmw,BMW Serie 3,occasion,2011.0,Diesel,Manuelle,18.0,1.8,369.0,gris,39.0
Bmw,Bmw,BMW Serie 3,occasion,2012.0,Essence,Manuelle,7.0,1.6,200.0,blanc,46.0
série 3,Bmw,BMW Serie 3,occasion,2013.0,Essence,Automatique,7.0,1.6,190000.0,blanc,64.0
série 3,Bmw,BMW Serie 3,occasion,2013.0,Essence,Manuelle,7.0,1.4,160.0,noir,56.0
À vendre ou échange  Serie 3 316i kit M 52202057,Bmw,BMW Serie 3,occasion,2013.0,Essence,Manuelle,7.0,1.6,175.0,noir,64.0
F30 316i Sport,Bmw,BMW Serie 3,occasion,2013.0,Essence,Automatique,7.0,1.6,158000.0,noir,65.0
3,Bmw,BMW Serie 3,occasion,2014.0,Essence,Automatique,7.0,1.6,190000.0,noir,69.5
F30 pack Luxury,Bmw,BMW Serie 3,occasion,2014.0,Essence,Automatique,7.0,1.6,185000.0,noir,67.0
Bmw 316,Bmw,BMW Serie 3,occasion,2015.0,Essence,Automatique,7.0,1.6,180000.0,noir,68.0
Bmw f30,Bmw,BMW Serie 3,occasion,2015.0,Essence,Automatique,7.0,1.6,175.0,noir,59.0
A vendre  316i,Bmw,BMW Serie 3,occasion,2015.0,Essence,Automatique,7.0,1.6,94000.0,noir,75.0
F30 état neuf,Bmw,BMW Serie 3,occasion,2017.0,Essence,Automatique,7.0,1.6,134.0,blanc,66.0
F30,Bmw,BMW Serie 3,occasion,2017.0,Essence,Automatique,7.0,1.6,194000.0,bleu,85.0
420i COUPÉE,Bmw,BMW Serie 4 Coupe,occasion,2014.0,Essence,Automatique,10.0,2.0,106000.0,blanc,120.0
4,Bmw,BMW Serie 4 Coupe,occasion,2015.0,Essence,Automatique,10.0,2.0,75000.0,noir,93.0
A Vendre  420I Grand Coupé Noire,Bmw,BMW Serie 4 Coupe,occasion,2015.0,Essence,Automatique,10.0,>4.0,75000.0,noir,105.0
420D COUPÉE,Bmw,BMW Serie 4 Coupe,occasion,2015.0,Diesel,Automatique,10.0,2.0,120000.0,noir,130.0
418I  COUPÉ,Bmw,BMW Serie 4 Coupe,occasion,2016.0,Essence,Automatique,7.0,1.7,173000.0,blanc,100.0
Série 4,Bmw,BMW Serie 4 Coupe,occasion,2020.0,Essence,Automatique,7.0,1.5,40000.0,blanc,145.0
Bmw e34 525tds,Bmw,BMW Serie 5,neuf,1990.0,Diesel,Manuelle,7.0,2.5,280.0,blanc,14.0
Bmw e34 moteur na7la m52b20,Bmw,BMW Serie 5,occasion,1991.0,Essence,Manuelle,11.0,2.0,290.0,noir,10.9
Bmw E39,Bmw,BMW Serie 5,occasion,1997.0,Essence,Manuelle,10.0,2.0,270000.0,noir,15.5
Bmw,Bmw,BMW Serie 5,occasion,2000.0,Essence,Manuelle,10.0,2.0,400.0,noir,16.0
Bmw,Bmw,BMW Serie 5,occasion,2004.0,Diesel,Automatique,11.0,1.5,422000.0,bleu,33.0
530i,Bmw,BMW Serie 5,occasion,2007.0,Essence,Manuelle,11.0,3.0,143000.0,noir,60.0
525d,Bmw,BMW Serie 5,occasion,2008.0,Diesel,Automatique,12.0,2.5,190000.0,noir,57.0
F10 520 D,Bmw,BMW Serie 5,occasion,2010.0,Diesel,Automatique,10.0,2.0,200.0,noir,55.0
Belle,Bmw,BMW Serie 5,occasion,2010.0,Diesel,Automatique,10.0,2.0,250000.0,blanc,62.0
2011  E60 520d Édition phase 2,Bmw,BMW Serie 5,occasion,2011.0,Diesel,Automatique,10.0,2.0,260000.0,noir,61.9
F10 520D,Bmw,BMW Serie 5,occasion,2011.0,Diesel,Automatique,10.0,2.0,192.0,noir,78.0
520I F10  M   22801802,Bmw,BMW Serie 5,occasion,2012.0,Essence,Automatique,10.0,2.0,197000.0,blanc,79.9
Série 5 F10  M,Bmw,BMW Serie 5,occasion,2012.0,Diesel,Automatique,10.0,2.0,200600.0,noir,80.0
5,Bmw,BMW Serie 5,occasion,2013.0,Essence,Automatique,11.0,2.0,200000.0,noir,67.0
F10 520i,Bmw,BMW Serie 5,occasion,2013.0,Essence,Automatique,10.0,2.0,15000.0,noir,90.0
520D,Bmw,BMW Serie 5,occasion,2014.0,Diesel,Automatique,10.0,2.0,228000.0,blanc,74.0
520i G30 21 36 36 36,Bmw,BMW Serie 5,occasion,2018.0,Essence,Automatique,10.0,1.6,132000.0,noir,135.0
Bmw 520i luxury,Bmw,BMW Serie 5,occasion,2018.0,Essence,Automatique,10.0,1.8,100000.0,noir,148.0
630 i 2007,Bmw,BMW Serie 6,occasion,2007.0,Essence,Automatique,17.0,3.0,102000.0,gris,72.0
750i TU234,Bmw,BMW Serie 7,occasion,2009.0,Essence,Automatique,31.0,>4.0,170000.0,noir,97.0
740i,Bmw,BMW Serie 7,occasion,2010.0,Essence,Automatique,23.0,>4.0,126000.0,noir,125.0
X1 S Drive Kit M,Bmw,BMW X1,neuf,2017.0,Essence,Automatique,7.0,1.8,150000.0,noir,84.0
X1 S  Phase 2,Bmw,BMW X1,occasion,2013.0,Essence,Automatique,9.0,2.0,180000.0,blanc,59.0
2013  X1 S  Phase 2,Bmw,BMW X1,occasion,2013.0,Essence,Automatique,9.0,2.0,180000.0,blanc,62.0
X1,Bmw,BMW X1,occasion,2016.0,Essence,Automatique,7.0,1.8,159000.0,noir,89.9
X1,Bmw,BMW X1,occasion,2020.0,Essence,Automatique,8.0,1.8,74000.0,gris,112.0
Bmw x3 2007,Bmw,BMW X3,occasion,2007.0,Essence,Manuelle,10.0,3.0,380000.0,Autres,34.0
Bmw x3 20 x drive,Bmw,BMW X3,occasion,2009.0,Diesel,Manuelle,10.0,2.0,154000.0,noir,53.0
X2  M 2019,Bmw,BMW X3,occasion,2019.0,Essence,Automatique,7.0,1.8,67000.0,noir,145.0
X5,Bmw,BMW X5,occasion,2003.0,Diesel,Automatique,12.0,3.0,150000.0,noir,46.0
X5 Diesel 3L,Bmw,BMW X5,occasion,2008.0,Diesel,Automatique,15.0,3.0,280000.0,bleu,67.5
X5,Bmw,BMW X5,occasion,2010.0,Diesel,Automatique,10.0,>4.0,126000.0,marron,119.0
2010  X6 s 30L Diesel,Bmw,BMW X6,occasion,2010.0,Diesel,Automatique,15.0,3.0,190000.0,noir,98.0
Très belle e90 avec moteur n45,Bmw,BMW i3,occasion,2012.0,Essence,Automatique,7.0,1.6,223000.0,Autres,47.5
A    316,Bmw,BMW i3,occasion,2013.0,Essence,Manuelle,7.0,1.6,115000.0,rouge,58.0
A vendre  21607006,Bmw,BMW i3,occasion,2013.0,Essence,Automatique,7.0,1.4,179.0,noir,5.555
S2,Buick,S2,occasion,2017.0,Essence,Manuelle,7.0,1.4,81000.0,gris,42.0
Baic s3,Buick,S3,occasion,2017.0,Essence,Manuelle,7.0,>4.0,130000.0,blanc,35.0
CheryE3 a vendre,Chery,A3,occasion,2017.0,Essence,Manuelle,6.0,>4.0,123.0,gris,28.0
chery E3,Chery,A3,occasion,2017.0,Essence,Manuelle,6.0,1.5,107870.0,beige,28.7
